1	1
0	2
0	0
1	2
1	0
0	1
0	3
1	3
2	1
2	2
2	0
2	3
0	4
1	4
3	1
3	2
3	0
2	4
3	3
3	4
0	5
1	5
4	1
4	2
4	0
2	5
4	3
3	5
4	4
0	6
1	6
5	1
5	2
5	0
4	5
2	6
5	3
3	6
5	4
0	7
1	7
6	1
6	2
6	0
4	6
5	5
2	7
6	3
5	6
3	7
6	4
0	8
1	8
7	1
7	2
7	0
4	7
6	5
2	8
7	3
5	7
6	6
3	8
7	4
0	9
1	9
8	1
8	2
8	0
6	7
4	8
7	5
2	9
8	3
5	8
7	6
3	9
8	4
0	10
1	10
9	1
9	2
9	0
6	8
7	7
4	9
8	5
2	10
9	3
7	8
5	9
8	6
3	10
9	4
0	11
1	11
10	1
10	2
10	0
6	9
8	7
4	10
9	5
2	11
10	3
7	9
8	8
5	10
9	6
3	11
10	4
8	9
0	12
1	12
11	1
11	2
11	0
6	10
9	7
4	11
10	5
2	12
11	3
7	10
9	8
5	11
10	6
3	12
11	4
8	10
9	9
0	13
1	13
12	1
12	2
12	0
6	11
10	7
4	12
11	5
9	10
2	13
12	3
7	11
10	8
5	12
11	6
3	13
12	4
8	11
10	9
0	14
1	14
13	1
13	2
13	0
6	12
11	7
4	13
12	5
9	11
10	10
2	14
13	3
7	12
11	8
5	13
12	6
10	11
3	14
13	4
8	12
11	9
0	15
1	15
14	1
14	2
14	0
6	13
12	7
4	14
13	5
9	12
11	10
2	15
14	3
7	13
12	8
5	14
13	6
10	12
11	11
3	15
14	4
8	13
12	9
0	16
1	16
15	1
15	2
15	0
6	14
13	7
11	12
4	15
14	5
9	13
12	10
2	16
15	3
7	14
13	8
5	15
14	6
10	13
12	11
3	16
15	4
8	14
13	9
0	17
1	17
16	1
16	2
16	0
6	15
14	7
11	13
12	12
4	16
15	5
9	14
13	10
2	17
16	3
7	15
14	8
12	13
5	16
15	6
10	14
13	11
3	17
16	4
8	15
14	9
0	18
1	18
17	1
17	2
17	0
6	16
15	7
11	14
13	12
4	17
16	5
9	15
14	10
2	18
17	3
7	16
15	8
12	14
13	13
5	17
16	6
10	15
14	11
3	18
17	4
8	16
15	9
13	14
0	19
1	19
18	1
18	2
18	0
6	17
16	7
14	12
4	18
17	5
9	16
15	10
2	19
18	3
7	17
16	8
14	13
5	18
17	6
10	16
15	11
3	19
18	4
8	17
16	9
14	14
0	20
1	20
19	1
19	2
19	0
6	18
17	7
15	12
4	19
18	5
9	17
16	10
2	20
19	3
7	18
17	8
15	13
5	19
18	6
10	17
16	11
3	20
19	4
8	18
17	9
15	14
0	21
1	21
20	1
20	2
20	0
6	19
18	7
16	12
4	20
19	5
9	18
17	10
2	21
20	3
7	19
18	8
16	13
5	20
19	6
10	18
17	11
3	21
20	4
8	19
18	9
16	14
0	22
1	22
21	1
21	2
21	0
6	20
19	7
17	12
4	21
20	5
9	19
18	10
2	22
21	3
7	20
19	8
17	13
5	21
20	6
10	19
18	11
3	22
21	4
8	20
19	9
17	14
0	23
1	23
22	1
22	2
22	0
6	21
20	7
18	12
4	22
21	5
9	20
19	10
2	23
22	3
7	21
20	8
18	13
5	22
21	6
10	20
19	11
3	23
22	4
8	21
20	9
18	14
0	24
1	24
23	1
23	2
23	0
6	22
21	7
19	12
4	23
22	5
9	21
20	10
2	24
23	3
7	22
21	8
19	13
5	23
22	6
10	21
20	11
3	24
23	4
8	22
21	9
19	14
0	25
1	25
24	1
24	2
24	0
6	23
22	7
20	12
4	24
23	5
9	22
21	10
2	25
24	3
7	23
22	8
20	13
5	24
23	6
10	22
21	11
3	25
24	4
8	23
22	9
20	14
0	26
1	26
25	1
25	2
25	0
6	24
23	7
21	12
4	25
24	5
9	23
